playerid,difference
hislela01,9
hitchst01,6
hodgegi01,6
hoffmtr01,3
hofmaso01,6
hollaal01,6
hollagr01,4
hollato01,1
hollima01,2
holloch01,0
holmeto01,3
holtzke01,8
hoopeha01,9
hootobu01,10
hornebo01,0
hornsro01,1
hortowi01,5
hosmeer01,2
houttar01,5
howarel01,3
howarfr01,2
howarry01,1
howest01,0
hoytla01,4
hoytwa01,9
hraboal01,5
hrbekke01,10
hubbagl01,5
hubbeca01,1
hubbske01,1
hudsoda01,2
hudsoor01,3
hudsoti01,11
huffau01,8
hugheto04,1
hughste01,1
humeto01,3
hundlra01,3
hunteca01,9
hunteto01,4
huntro01,1
inciaen01,2
izturce01,3
jacksbo01,3
jacksda02,5
jacksjo01,3
jacksre01,2
jackstr01,2
jamesbi02,1
jamiech01,9
janseke01,6
jansela01,3
jayjo01,8
jenkife01,2
jennija01,1
jenseja01,8
jeterde01,1
jethrsa01,0
johnsbi03,0
johnsbo01,6
johnsch04,1
johnsda02,4
johnsde01,5
johnsho01,7
johnsji04,0
johnsra05,7
johnswa01,2
johnto01,13
jonesad01,3
jonesan01,2
jonesch06,6
jonescl01,6
jonesdo01,10
jonesra01,2
jonessa02,8
jonesto02,7
jorgemi01,5
jossad01,6
judgeaa01,1
judgejo01,9
jurgebi01,10
justida01,1
kaatji01,3
kalinal01,2
kammwi01,3
karroer01,1
keefeti01,8
kellech01,1
kellge01,3
kellyge01,6
keltnke01,5
kempma01,3
kennead01,3
kennete02,5
kenneve01,2
kentje01,8
kernji01,5
kershcl01,3
kessido01,4
keuchda01,2
keyji01,3
kiermke01,2
killebi01,8
killeha01,10
kimbrcr01,1
kindeel01,3
kinerra01,1
kingmda01,8
kinslia01,10
kittlro01,1
kleinch01,3
klingjo01,8
klubeco01,3
kluszte01,7
knickbi01,1
knighra01,9
knoblch01,0
knoopbo01,2
kochbi01,3
konerpa01,7
konstji01,6
koufasa01,8
kremera01,2
kressre01,2
kubekto01,0
kuennha01,1
kurowwh01,4
lagarju01,1
lajoina01,5
landiji01,3
langsma01,3
lansfca01,3
larkiba01,2
larocad01,8
larsedo01,3
laryfr01,7
lavagco01,5
lavalmi01,3
lawsoro01,7
lawve01,10
lazzeto01,1
leachto01,11
learyti01,7
leebi02,4
leeca01,6
leecl02,6
leede02,6
leeth01,8
