first,playerid,updated_salary,old_salary,increase in %
2003,castilu01,5531855.000000000000,943285.714285714286,486.4453278812660900
2003,vidrojo01,7083333.333333333333,1239583.333333333333,471.4285714285714300
2003,lowelmi01,9150000.000000000000,814000.000000000000,1024.0786240786240800
2003,foulkke01,5090000.000000000000,1344166.666666666667,278.6732796032238100
2003,gilesma01,2039300.000000000000,210000.000000000000,871.0952380952381000
2003,gagneer01,6591666.666666666667,260000.000000000000,2435.2564102564102600
2003,wolfra02,6748448.200000000000,313750.000000000000,2050.8998247011952200
2003,leede02,9750000.111111111111,747400.000000000000,1204.5223589926560200
2003,muellbi02,2817360.750000000000,1418333.333333333333,98.63883078730904822500
2003,wellsve01,10617987.000000000000,210500.000000000000,4944.1743467933491700
2003,cruzjo02,2201666.666666666667,1261666.666666666667,74.50462351387054159200
2003,beckejo02,9734114.500000000000,2156250.000000000000,351.4371942028985500
2004,santajo01,14321642.222222222222,249166.666666666667,5647.8162764771460300
2004,izturce01,2231500.000000000000,275000.000000000000,711.4545454545454500
2004,schmija01,12127291.333333333333,2133944.444444444444,468.3039858373903300
2004,beltrad01,13384615.384615384615,1523333.333333333333,778.6399596027604800
2004,abreubo01,11144444.444444444444,3439952.285714285714,223.9709018850639800
2004,teixema01,16425000.000000000000,750000.000000000000,2090.0000000000000000
2004,ortizda01,12089423.076923076923,570000.000000000000,2020.9514170040485800
2004,loretma01,2500000.000000000000,1600611.111111111111,56.19034396584637813000
2004,konerpa01,10522864.181818181818,2173333.333333333333,384.1808672615727800
2004,nathajo01,7107500.000000000000,241666.666666666667,2841.0344827586206900
2004,wilsoja02,4477777.777777777778,255666.666666666667,1651.4124293785310700
2004,drewjd01,11875000.000000000000,2618337.600000000000,353.5320426212418100
2004,morame01,4713802.125000000000,638750.000000000000,637.9729354207436400
2005,oswalro01,12557142.857142857143,1350000.000000000000,830.1587301587301600
2005,marquja01,5405555.555555555556,332000.000000000000,1528.1793842034805900
2005,loducpa01,5628968.250000000000,1536000.200000000000,266.4692393920261200
2005,colonba01,7415000.000000000000,3610000.000000000000,105.4016620498615000
2005,youngmi02,10261599.666666666667,371666.666666666667,2660.9685201793721900
2005,barremi01,3219999.800000000000,1008416.666666666667,219.3124336831666800
2005,cordech01,2805375.000000000000,300000.000000000000,835.1250000000000000
2005,ensbemo01,2587500.000000000000,293333.333333333333,782.1022727272727300
2005,roberbr01,6396500.000000000000,345000.000000000000,1754.0579710144927500
2005,damonjo01,10500000.000000000000,3693900.000000000000,184.2524161455372400
2005,cabremi01,15660420.750000000000,242787.000000000000,6350.2715343078500900
2005,varitja01,7063147.142857142857,2526071.428571428571,179.6099533437014000
2005,leeca01,14562500.000000000000,2379166.666666666667,512.0840630472854600
2005,hudsoor01,3834984.625000000000,317500.000000000000,1107.8691732283464600
2005,lopezfe01,2735833.333333333333,277500.000000000000,885.8858858858858900
2005,carpech01,9091936.285714285714,1023749.875000000000,788.1013329270771100
2006,credejo01,3803750.000000000000,351666.666666666667,981.6350710900473900
2006,eckstda01,2853333.200000000000,1077666.600000000000,164.7695678793422800
2006,morneju01,9663500.000000000000,345000.000000000000,2701.0144927536231900
2006,mauerjo01,15581818.181818181818,312500.000000000000,4886.1818181818181800
2006,utleych01,11136363.454545454545,322500.000000000000,3353.1359548978153600
2006,grudzma01,3275000.000000000000,2155818.181818181818,51.91448089736020917200
2006,berkmla01,12812500.000000000000,3584166.666666666667,257.4750058126017200
2006,polanpl01,4768749.750000000000,1983571.428571428571,140.4123028447965400
2006,rodrifr03,7640847.900000000000,375833.333333333333,1933.0415698447893600
2006,suppaje01,8800000.000000000000,1412500.000000000000,523.0088495575221200
2006,reyesjo01,10377409.090909090909,319750.000000000000,3145.4758689316937900
2006,zambrca01,15771428.571428571429,1516666.666666666667,939.8744113029827300
2006,webbbr01,5083333.333333333333,525000.000000000000,868.2539682539682500
2006,wrighda03,11266442.909090909091,322500.000000000000,3393.4706694855532100
2006,hollima01,13101415.727272727273,366000.000000000000,3479.6217834078489800
2007,valvejo01,5512293.142857142857,338000.000000000000,1530.8559594251901900
2007,borowjo01,4000000.000000000000,648755.555555555556,516.5650476125231200
2007,rowanaa01,10150000.000000000000,1227000.000000000000,727.2208638956805200
2007,timlimi01,2900000.000000000000,2042368.375000000000,41.99201454047191658100
2007,sabatcc01,20189285.600000000000,3350000.000000000000,502.6652417910447800
2007,youklke01,7935642.857142857143,338862.500000000000,2241.8474623609449700
2007,putzjj01,4762500.000000000000,387500.000000000000,1129.0322580645161300
